Countries,Government Size,Economic Freedom
Bosnia and Herzegovina,5.486882914,6.56
Hungary,5.487100875,7.34
Portugal,5.488517828,7.4
Fiji,5.492867447,5.27
Nigeria,5.497736703,4.18
Nepal,5.499499337,5.37
Trinidad & Tob.,5.508426047,6.6
Japan,5.508768435,7.51
Chad,5.508975797,4.72
Germany,5.511018212,7.67
Portugal,5.513192244,7.46
Macedonia,5.515428494,6.19
Rwanda,5.516091525,7.32
Germany,5.517041504,7.7
"Congo, Dem. R.",5.517749239,5.38
Rwanda,5.520329113,3.2
Syria,5.520588235,5.53
Taiwan,5.520588235,6.4
Portugal,5.532376983,7.36
Cameroon,5.532421104,5.43
Bosnia and Herzegovina,5.534408559,6.63
Madagascar,5.534554479,5.43
Gabon,5.535952248,5.3
Montenegro,5.539215686,7.16
Botswana,5.541008174,6.99
Botswana,5.541008174,7.09
Malawi,5.541831367,5.71
Swaziland,5.546053142,6.44
Botswana,5.548361116,7.02
Norway,5.549981968,7.63
Germany,5.552116096,7.67
Gabon,5.555257253,5.57
Ireland,5.555954148,7.06
Malaysia,5.559311455,6.68
Burkina Faso,5.5625,6.03
New Zealand,5.562785334,8.27
Namibia,5.567489093,6.62
Panama,5.570334099,6.82
Zimbabwe,5.570863644,4.94
Italy,5.572961062,7.19
Germany,5.578069217,7.66
Central Afr. Rep.,5.578696226,4.39
Namibia,5.579980766,6.72
Thailand,5.580334738,5.94
Senegal,5.580882353,5.9
Oman,5.582145205,7.08
Portugal,5.58261683,7.6
Latvia,5.583916513,7.33
United Kingdom,5.586191711,7.91
Italy,5.586379828,7.47
Poland,5.586416092,7
Slovak Rep,5.589830582,7.3
Trinidad & Tob.,5.595294029,6.73
Slovak Rep,5.598829932,7.44
Italy,5.604886165,7.29
Greece,5.605110487,6.96
Ireland,5.605364523,7.98
Belize,5.610242748,6.56
Iceland,5.610831661,8.03
Burkina Faso,5.611029412,6.02
Ghana,5.61320063,5.43
Malta,5.614693866,7.59
Italy,5.620035561,7.59
Zimbabwe,5.622677913,3.25
Poland,5.624382422,7.27
"Congo, Dem. R.",5.625,3.41
Poland,5.625616977,7.16
Mauritius,5.626536222,4.9
Egypt,5.62714079,5.98
Argentina,5.628265748,3.13
Lithuania,5.6288967,6.87
Malawi,5.630131031,5.85
Belize,5.633151391,6.49
Macedonia,5.636792755,6.61
Lithuania,5.638163527,5.47
Germany,5.638581904,7.5
United Kingdom,5.639386473,8.01
Hungary,5.64081397,7.38
Swaziland,5.645633101,6.41
Germany,5.646350805,7.58
Namibia,5.647969758,6.53
Algeria,5.648022438,4.91
Burundi,5.648756802,5.53
United Kingdom,5.648981566,8.18
Israel,5.651093097,7.25
Spain,5.651634877,7.45
Sierra Leone,5.653176257,4.44
Poland,5.656228278,7.25
Portugal,5.658476204,7.55
Namibia,5.658979991,6.61
Portugal,5.659946793,7.51
Tanzania,5.660784314,6.21
Senegal,5.661764706,5.9
"Congo, Dem. R.",5.661866886,5.28
Myanmar,5.662386614,3.73
United Kingdom,5.662810547,7.99
Egypt,5.663891196,5.87
Cote d'Ivoire,5.664004106,5.9
United Kingdom,5.664386473,8
Ecuador,5.666937811,6.06
Suriname,5.668308222,6.35
Swaziland,5.66884726,6.47
Morocco,5.670193541,4.91
Trinidad & Tob.,5.671359593,6.74
Burundi,5.672873365,5.01
Lesotho,5.675872356,6.07
Italy,5.676206476,7.5
Spain,5.679695945,7.35
Australia,5.684055257,7.95
Norway,5.685921379,7.73
Rwanda,5.687297169,7.4
Venezuela,5.689148146,4.78
Spain,5.69010868,7.45
"Congo, Dem. R.",5.690543356,5.2
Burkina Faso,5.690644868,5.85
Togo,5.69256433,5.14
Mexico,5.692853734,5.19
Poland,5.69522703,6.47
Guyana,5.697058824,6.4
Ghana,5.698246942,2.83
Kenya,5.70036284,5.85
New Zealand,5.705331644,8.33
Portugal,5.705390281,7.4
Chile,5.705576539,5.55
Jordan,5.705952384,6.14
Dominican Rep.,5.706012589,5.59
Portugal,5.706675749,7.41
Spain,5.706727962,7.35
Macedonia,5.708933723,6.42
Italy,5.710877144,7.07
Japan,5.71556698,7.83
Tanzania,5.715686275,6.2
Rwanda,5.716995447,7.48
Costa Rica,5.717135406,5.52
Iceland,5.717975936,7.73
Greece,5.718825132,6.81
Egypt,5.719088414,5.78
Hungary,5.720404147,7.33
Syria,5.720588235,5.75
Cote d'Ivoire,5.720673985,6
Japan,5.722656042,7.77
"Congo, Dem. R.",5.728253727,5.28
Poland,5.731911692,7.43
Macedonia,5.734152108,6.72
Spain,5.73497808,7.53
Rwanda,5.736118149,7.43
"Congo, Dem. R.",5.737163645,3.12
Ireland,5.737620876,8.04
Malta,5.737813215,7.22
Poland,5.73835301,7.36
Germany,5.742301466,7.75
Bulgaria,5.742956088,6.81
Latvia,5.744858952,7.34
Poland,5.74946017,6.55
Czech Rep.,5.753635849,7.42
Canada,5.754943662,7.91
Malta,5.755304672,7.63
Greece,5.757385924,5.72
Ireland,5.75764539,8.25
Myanmar,5.759132961,3.65
Austria,5.759279995,6.51
Italy,5.768604791,7.15
Tanzania,5.768627451,6.11
Japan,5.768764585,7.66
Senegal,5.769117647,5.95
Czech Rep.,5.770091097,7.56
Myanmar,5.77190625,3.79
Gabon,5.772169017,5.71
Malta,5.777339325,7.66
Malta,5.779331624,6.98
Egypt,5.779366171,5.99
Malta,5.781152,6.52
Myanmar,5.781495547,3.72
Cote d'Ivoire,5.782209193,5.93
Malta,5.782798386,6.88
Israel,5.782933957,7.23
Malawi,5.783098612,5.32
Burundi,5.783741463,4.3
Rwanda,5.786848388,7.56
Argentina,5.787410515,5.82
Pap. New Guinea,5.789451964,6.07
Botswana,5.79027288,7.24
Poland,5.793037765,7.32
Malta,5.795373968,7.64
Burundi,5.797264958,4.8
Benin,5.797280424,5.78
Japan,5.797591558,7.37
Malta,5.800098173,7.59
Canada,5.800689395,8.08
Norway,5.804742347,7.59
Slovak Rep,5.804932715,7.42
Tunisia,5.805729204,6.29
Canada,5.807737728,8.17
Mali,5.808810635,4.88
Tunisia,5.811155836,5.26
Myanmar,5.811764706,5.36
Argentina,5.813584263,5.59
Brazil,5.814050218,6.24
United Kingdom,5.814252083,8.08
Czech Rep.,5.814569445,7.37
Bulgaria,5.814886002,6.58
Germany,5.818376342,7.7
Norway,5.820616464,7.73
Turkey,5.821312807,4.73
Senegal,5.821323529,6.05
Macedonia,5.822690881,6.93
Cote d'Ivoire,5.823385664,6
Malta,5.82467217,7.8
Ecuador,5.82576134,6.09
Japan,5.826411655,7.94
Malta,5.82701154,7.67
Senegal,5.827384196,5.87
Israel,5.830587835,7.23
Tanzania,5.833333333,4.33
"Congo, Rep. Of",5.833377341,5.02
Macedonia,5.83338075,6.89
Sierra Leone,5.834188171,4.68
Myanmar,5.836846598,3.86
Burkina Faso,5.837810547,5.84
Pakistan,5.840087316,5.55
Israel,5.84116164,7.3
Myanmar,5.841330802,3.45
Myanmar,5.842701037,4.22
Cyprus,5.845311236,5.52
Barbados,5.847794118,5.67
Malta,5.848255351,7.55
Zimbabwe,5.848413207,4.51
Ireland,5.849578702,8.13
Iceland,5.856835282,7.91
Myanmar,5.860784314,5.35
Myanmar,5.861983501,3.34
Venezuela,5.862327124,5.9
Gabon,5.862610194,5.8
Pap. New Guinea,5.862755731,6.02
Malta,5.865147075,7.72
Ethiopia,5.868933323,5.6
Malaysia,5.870872406,6.25
Morocco,5.874993903,6.37
Haiti,5.879990918,5.43
Trinidad & Tob.,5.880691105,6.86
Macedonia,5.881910162,6.83
Niger,5.88240162,4.62
Estonia,5.883723858,7.86
Greece,5.886963055,7.1
Ecuador,5.890467222,6.03
Malaysia,5.891248598,6.32
Estonia,5.893282681,7.93
Gabon,5.894227841,5.89
Ireland,5.895573022,8.03
Suriname,5.89619573,6.64
Suriname,5.89619573,6.72
Suriname,5.89619573,6.78
Botswana,5.898361116,7.35
Malta,5.898388456,7.74
Chad,5.899416974,4.97
Japan,5.901526687,7.65
Ireland,5.907436662,8.01
Malta,5.907711572,7.37
Morocco,5.9080771,4.98
Estonia,5.909200064,7.68
Mauritania,5.909803922,5.9
Ireland,5.909872175,8.12
Bahrain,5.911132325,6.62
Burundi,5.911764706,5.96
Estonia,5.914215668,7.79
Fiji,5.915064933,6.11
Morocco,5.915131482,6.34
Egypt,5.91544318,6.21
Malaysia,5.917032383,6.8
Malta,5.917352957,7.73
Canada,5.917775285,8.01
Italy,5.918583551,7.37
Tanzania,5.921568627,6.3
Canada,5.922628175,8.01
Guyana,5.924509804,6.31
Gabon,5.925364496,5.28
Estonia,5.926403792,7.6
Morocco,5.930140961,6.36
Rwanda,5.930262696,6.89
Morocco,5.930876255,6.37
Ecuador,5.934584869,5.88
Ethiopia,5.935001603,5.16
Unit. Arab Em.,5.93652829,6.71
Estonia,5.936906956,7.82
Colombia,5.938230831,5.06
Morocco,5.941170373,6.28
Romania,5.942708232,5.02
Barbados,5.946449752,6.63
Spain,5.949259399,7.5
Rwanda,5.949334837,4.6
Venezuela,5.950372719,5.89
Venezuela,5.951631567,5.55
Malawi,5.952043471,5.92
"Congo, Dem. R.",5.952308062,5.36
Japan,5.95455668,7.55
Unit. Arab Em.,5.957250805,7.18
Chad,5.957505209,4.99
Malaysia,5.958771808,6.85
Estonia,5.959223408,7.84
Chad,5.960006946,4.84
Japan,5.963790836,7.93
Argentina,5.964230062,5.67
Malta,5.967112998,7
South Africa,5.967391546,5.23
"Korea, South",5.969305181,5.38
Canada,5.971285263,8.27
Pap. New Guinea,5.971504761,6.17
Estonia,5.972012862,7.7
Estonia,5.973032537,7.67
Brazil,5.974530474,5.98
Brazil,5.975067751,5.98
Malaysia,5.976909772,6.61
Spain,5.978692499,7.37
Jordan,5.983164839,7.23
Gabon,5.983294839,5.4
Burundi,5.986029412,5.97
Central Afr. Rep.,5.986524283,5.06
Mali,5.986800231,5.95
Italy,5.988860394,7.25
Fiji,5.989207072,6.79
Central Afr. Rep.,5.997965136,4.93
Bahrain,6,6.6
Israel,6.001145071,7.22
Malta,6.003186143,6.98
Syria,6.005090953,6.18
Trinidad & Tob.,6.005767589,6.85
Senegal,6.007091855,5.02
Malaysia,6.009136079,6.86
Ghana,6.009258491,6.29
Thailand,6.014928904,5.86
Syria,6.0183767,5.27
Spain,6.019536903,7.56
Canada,6.024061309,7.98
Cyprus,6.027938802,5.56
Malaysia,6.028827078,6.84
Iceland,6.031814754,6.92
Jordan,6.03355105,7.22
Egypt,6.034483575,5.77
Zimbabwe,6.035177913,3.74
"Congo, Dem. R.",6.035396297,5.23
United Kingdom,6.037330092,7.96
Canada,6.041132393,8.04
South Africa,6.04383421,6.65
Estonia,6.04499831,7.72
United States,6.046008648,8.26
Malaysia,6.047415075,6.6
Montenegro,6.050980392,6.91
Angola,6.051470588,5.14
Myanmar,6.053921569,4.44
Chad,6.056769915,4.97
Malawi,6.058152642,5.86
South Africa,6.060745975,6.84
Israel,6.063765424,7.14
Zambia,6.064705882,6.61
South Africa,6.065281972,5.91
Brazil,6.066533384,4.23
Egypt,6.066836516,5.72
Argentina,6.068741798,5.88
Japan,6.069301971,7.65
Iceland,6.069551846,7.99
Malaysia,6.074769399,6.59
Jordan,6.077386067,7.06
Mali,6.077389084,5.92
Malaysia,6.078293895,6.64
Tunisia,6.080729204,6.33
Gabon,6.082797916,5.39
Tunisia,6.084405674,6.35
Mexico,6.084915451,5.73
Jordan,6.084985869,6.89
Zimbabwe,6.086648501,3.21
New Zealand,6.088210403,8.4
Ghana,6.08867607,5.82
Tunisia,6.091758615,6.48
Ethiopia,6.092271097,5.54
Togo,6.092697938,5.69
Estonia,6.093270331,7.74
Fiji,6.093865203,6.57
Turkey,6.093953163,3.52
Cameroon,6.097657392,5.57
Barbados,6.09927966,6.63
Taiwan,6.100677192,7.29
Argentina,6.101238179,4.25
South Africa,6.102172198,5.03
Chile,6.10634337,7.37
Unit. Arab Em.,6.106591756,7.15
Cyprus,6.10768745,6.65
Fiji,6.110041673,6.53
Namibia,6.111507114,6.75
Ethiopia,6.111710366,5.46
Ethiopia,6.112884677,5.68
Mozambique,6.112901881,5.63
Mozambique,6.115107764,5.5
Burundi,6.115441176,5.92
Ireland,6.116601716,7.96
Burundi,6.117647059,5.87
Canada,6.119262514,8.17
Timor-Leste,6.119289276,6.55
Timor-Leste,6.119289276,6.6
Egypt,6.121614217,6.3
Japan,6.122470523,7.85
Rwanda,6.123622545,7.45
Australia,6.123697138,7.97
Chile,6.124317697,7.36
Jordan,6.124375261,5.43
Iceland,6.124579259,7.34
Namibia,6.125999599,6.63
Barbados,6.126502094,6.05
Egypt,6.127344126,6.51
Ecuador,6.127967222,5.87
Malaysia,6.12825573,6.85
Brazil,6.12955894,5.28
Venezuela,6.130648311,4.35
Canada,6.130694679,8.09
Australia,6.131187585,8.07
Ireland,6.132856074,8.08
Brazil,6.1329384,4.66
Taiwan,6.133435978,7.39
Haiti,6.135015289,4.97
Italy,6.13550195,6.37
Cote d'Ivoire,6.13552853,5.5
Australia,6.14030287,8.01
Bolivia,6.141495031,6.34
Mauritania,6.142156863,5.9
Canada,6.143185052,8.16
Zimbabwe,6.146323529,6.06
Canada,6.147681106,8.06
Slovak Rep,6.150543041,7.38
Angola,6.155508356,5.44
Zambia,6.155882353,6.74
Bolivia,6.162804536,6.23
Israel,6.168063792,7.32
Bolivia,6.168686889,6.05
Japan,6.170303735,6.83
Australia,6.17231891,8.06
Canada,6.173981909,7.99
Argentina,6.175949671,4.47
Gabon,6.177316076,5.85
Bahrain,6.178557477,6.91
Kuwait,6.179997842,6.95
Pap. New Guinea,6.180320149,6.13
Niger,6.181132794,5.74
Australia,6.181346485,8.05
Montenegro,6.181372549,7.17
Benin,6.182574541,5.98
Malawi,6.183082051,5.76
Bolivia,6.184757173,6.45
Chad,6.185184733,5.13
Mexico,6.18713783,4.67
Guinea-Bissau,6.187254902,5.07
Cyprus,6.187335629,6.64
Nigeria,6.188134873,5.17
Fiji,6.189942366,6.82
Gabon,6.193261403,5.81
Syria,6.194898732,4.07
Kuwait,6.194949463,6.77
Serbia,6.196277448,6.39
Uganda,6.196410442,7.09
Syria,6.196670228,5.02
Syria,6.197227532,4.96
New Zealand,6.198222244,8.39
Togo,6.198529412,5.45
Syria,6.19874813,4.97
Tajikistan,6.19896017,6.65
"Congo, Rep. Of",6.199243937,4.96
Sierra Leone,6.201351234,5.06
Dominican Rep.,6.201649192,5.33
Timor-Leste,6.201659112,6.69
Tanzania,6.201960784,6.4
New Zealand,6.202655694,8.26
Canada,6.203438051,7.95
Bolivia,6.203540231,6.37
Syria,6.204252022,5.79
Benin,6.206331143,6
Namibia,6.206537506,6.65
Gabon,6.209466345,5.47
Ghana,6.209548806,5.88
Kuwait,6.210112177,6.59
Japan,6.211173013,7.78
Zambia,6.214705882,6.99
Cyprus,6.214778009,6.34
Mozambique,6.216311975,5.77
Colombia,6.216409694,4.81
Mozambique,6.216578352,5.75
Australia,6.221889404,8.19
New Zealand,6.222626638,8.46
Malaysia,6.224088435,6.88
Ethiopia,6.224667415,5.78
Benin,6.227646658,6.05
Sierra Leone,6.228183698,4.33
Japan,6.229723754,7.85
Iceland,6.230005919,8.06
Israel,6.230323288,7.47
Barbados,6.231195528,6.67
Botswana,6.232184645,7.22
Latvia,6.234075974,7.52
Cote d'Ivoire,6.234848893,5.44
Tanzania,6.237251563,6.42
Kuwait,6.23731806,6.75
New Zealand,6.237333575,8.52
Swaziland,6.237964907,6.56
Serbia,6.238501089,6.55
Cote d'Ivoire,6.23868746,5.69
"Gambia, The",6.240465748,7.04
New Zealand,6.240752609,8.44
"Korea, South",6.241383776,5.49
Gabon,6.242286728,5.69
Central Afr. Rep.,6.243086572,5.43
Mauritania,6.243137255,5.77
Hungary,6.244579511,7.39
Gabon,6.244963135,5.84
Montenegro,6.245098039,7.33
Spain,6.245862065,7.77
"Korea, South",6.248337652,7.21
Niger,6.25,5.56
Israel,6.252382111,7.49
Zambia,6.252979243,6.52
Kuwait,6.253103606,6.93
India,6.256271587,5.76
Macedonia,6.256990093,7.24
Bolivia,6.257657477,6.21
Nigeria,6.258612957,3.81
Canada,6.260228732,8.03
India,6.261713871,6.34
Macedonia,6.262872446,7.19
"Korea, South",6.263668224,6.92
Macedonia,6.264343034,7.16
Malaysia,6.266154876,7.26
Tanzania,6.266666667,6.29
Gabon,6.268492547,5.78
Kuwait,6.268623593,7.19
Kuwait,6.269358327,7.09
Morocco,6.269363398,5.85
Taiwan,6.270782862,7.21
Estonia,6.271253406,7.77
Jordan,6.271762302,7.3
Tunisia,6.272377413,6.4
Barbados,6.273728799,5.72
Kuwait,6.274826342,6.84
Bolivia,6.275304536,6.4
Tunisia,6.276416493,6.49
Georgia,6.277153829,7.57
Lithuania,6.277303497,7.37
Macedonia,6.278313623,7.13
Zimbabwe,6.278560266,3.82
Serbia,6.279055137,6.56
Senegal,6.281060667,5.7
Niger,6.282603382,5.79
Venezuela,6.288804055,6.72
New Zealand,6.28963274,8.39
Bolivia,6.290010418,6.38
Taiwan,6.290130274,7.34
Iran,6.290980125,6.04
Cote d'Ivoire,6.291508492,5.5
Slovak Rep,6.291991906,7.47
Timor-Leste,6.292104996,6.64
Senegal,6.293560667,5.76
Peru,6.294338035,3.5
Jordan,6.296393653,7.17
Pap. New Guinea,6.297012147,6.25
Myanmar,6.297058824,5.32
Myanmar,6.297058824,5.42
Bolivia,6.29736336,6.31
Pap. New Guinea,6.298517623,6
South Africa,6.298712717,5.9
Israel,6.300201822,7.45
Bulgaria,6.301339804,6.95
Bolivia,6.301944941,6.3
Pap. New Guinea,6.302826602,6.96
Montenegro,6.303921569,7.19
Pap. New Guinea,6.305208056,6.1
Trinidad & Tob.,6.306108632,5.5
Fiji,6.306118837,6.63
Barbados,6.311353133,6.68
Ireland,6.312110986,8.07
Bolivia,6.31273762,6.14
Bolivia,6.314275124,6.35
Morocco,6.31559118,5.93
Rwanda,6.318379856,3.71
"Gambia, The",6.318406924,6.87
Greece,6.318570684,7.27
Iran,6.31890928,6.09
Bosnia and Herzegovina,6.319061548,6.48
Taiwan,6.319653069,7.36
South Africa,6.322359496,5.26
Central Afr. Rep.,6.322638146,5.29
Seychelles,6.32684697,7.23
Kuwait,6.328703428,6.93
Suriname,6.329283965,6.85
Romania,6.330101466,5.73
New Zealand,6.330139338,8.49
Senegal,6.330586235,5.65
Macedonia,6.331058339,7.11
Chad,6.33114888,5.09
South Africa,6.33282377,6.72
Fiji,6.332845359,6.51
Romania,6.333096249,7.3
Myanmar,6.333333333,3.99
Myanmar,6.333333333,4.31
Benin,6.33404513,6.44
Ireland,6.33416981,8.25
Israel,6.334608912,7.2
Morocco,6.334924669,6.26
Madagascar,6.336135718,4.35
Serbia,6.336296349,6.55
Israel,6.338125884,7.42
Morocco,6.340833582,5.78
Bahrain,6.341493779,7.35
Spain,6.341727619,7.53
Belize,6.341850296,6.63
Syria,6.342734897,5.62
Egypt,6.344742701,6.29
Cape Verde,6.346389177,6.53
Brazil,6.346481442,6.23
New Zealand,6.347394701,8.47
Canada,6.348881081,8.13
Hungary,6.349890986,7.01
Kuwait,6.350798507,7.45
Serbia,6.350908056,6.58
Cote d'Ivoire,6.351478602,5.69
Indonesia,6.352005825,5.79
Egypt,6.35255356,6.01
Senegal,6.355933219,4.85
Pap. New Guinea,6.356196224,6.06
Bolivia,6.356922183,6.09
Egypt,6.358146338,6.4
Turkey,6.360081744,6.79
Ethiopia,6.364639101,5.74
Taiwan,6.364684477,7.29
Uruguay,6.367840165,7.05
Barbados,6.36797078,6.63
Israel,6.368220887,7.35
Switzerland,6.368835384,8.16
Jordan,6.371507471,7.4
Kuwait,6.371815563,6.97
United States,6.372190246,7.74
Nigeria,6.375493512,6.03
Greece,6.375772523,7.32
Serbia,6.376506652,6.64
Australia,6.3786952,8.07
Zambia,6.378946947,6.91
Barbados,6.380519697,6.06
"Korea, South",6.380805352,7.22
Togo,6.382352941,5.33
Montenegro,6.382352941,7.14
Barbados,6.383359154,6.43
Honduras,6.383460891,5.7
Canada,6.384783134,8.12
United States,6.386110485,7.81
Mozambique,6.388637175,5.78
Finland,6.391333872,7.12
Morocco,6.392131416,6.04
Latvia,6.392998987,7.72
Qatar,6.3955495,7.35
Latvia,6.396589358,7.59
Barbados,6.397058824,6.01
Guinea,6.398039216,5.74
Guinea,6.399019608,5.62
Colombia,6.399849975,6.67
Guinea,6.401960784,5.65
United States,6.402068976,7.93
Tunisia,6.402115724,6.97
Barbados,6.404000192,6.5
United States,6.407571091,7.81
Ukraine,6.407743629,5.89
Iran,6.407826437,6.01
Serbia,6.40835403,6.85
Cameroon,6.408686804,5.85
Morocco,6.409183517,5.9
El Salvador,6.411317874,4.34
Kuwait,6.417394681,7.51
Tajikistan,6.418077817,6.39
"Korea, South",6.418996545,6.58
Barbados,6.421439751,5.99
Tajikistan,6.421754288,6.68
Slovak Rep,6.423913589,7.38
Zambia,6.425,6.95
New Zealand,6.425676329,8.48
United States,6.426333682,8.03
Honduras,6.426367074,5.44
Serbia,6.426736383,6.76
Zambia,6.427685248,4.76
Mali,6.428783424,5.2
Moldova,6.429533795,6.57
Slovak Rep,6.430417535,7.48
Switzerland,6.43041839,8.21
Slovak Rep,6.432408637,7.59
Togo,6.433874322,5.31
Israel,6.435458283,7.36
Cote d'Ivoire,6.436666533,5.7
Brazil,6.436673722,6.08
Mexico,6.437894695,6.53
Mali,6.438235294,6.04
Kuwait,6.439060747,7.1
New Zealand,6.439380526,8.48
Bosnia and Herzegovina,6.439782011,6.56
Slovak Rep,6.440863921,7.59
Chad,6.443340279,5.42
Colombia,6.445506091,6.34
Gabon,6.446779282,5.56
Niger,6.447309264,5.69
United States,6.448248918,7.95
South Africa,6.448739372,7.04
Bulgaria,6.448984212,7.08
Brazil,6.450304536,6.15
Mali,6.450980392,6.04
Qatar,6.453133515,7.23
Chad,6.4531442,5.43
Tajikistan,6.457048405,6.28
New Zealand,6.457208479,8.48
Bulgaria,6.458184405,7.3
Bulgaria,6.459353264,7.1
Brazil,6.460850635,6.15
Spain,6.462495911,7.59
Ukraine,6.464343326,5.81
Ethiopia,6.464836112,5.35
Cameroon,6.465304451,5.68
United Kingdom,6.465437169,8.2
Serbia,6.466130389,5.96
South Africa,6.468290588,6.87
Peru,6.468453384,3.6
Mali,6.470588235,5.89
United Kingdom,6.473126703,8.34
Ukraine,6.473372761,6.05
Ireland,6.475240128,8.11
Canada,6.475624533,8.2
United Kingdom,6.475807421,8.3
Indonesia,6.47673305,4.78
New Zealand,6.476854205,8.49
Ireland,6.478365952,6.75
Slovak Rep,6.478907242,7.63
Bahrain,6.483109186,6.89
United Kingdom,6.484424587,8.13
Moldova,6.484433194,6.64
Iran,6.485255434,5.89
"Korea, South",6.485520602,6.38
Romania,6.486231768,7.34
South Africa,6.486448169,6.97
Ghana,6.489279073,6.42
South Africa,6.489344506,6.98
Philippines,6.492133716,5.15
Central Afr. Rep.,6.493620773,5.04
Malawi,6.49526642,6.18
Russia,6.495956272,6.59
Angola,6.496684826,5.17
Moldova,6.496863557,6.65
Rwanda,6.49865546,5.89
Senegal,6.498707726,5.91
Georgia,6.499113619,7.46
Moldova,6.499386736,6.64
Moldova,6.500851775,6.55
Latvia,6.501114008,7.56
Ghana,6.501315957,6.55
Morocco,6.50162486,6.41
Chile,6.508469715,6.61
Honduras,6.511901268,6.52
Bahrain,6.518043913,7.2
Syria,6.520433964,5.96
Malawi,6.520572207,6.17
Egypt,6.522602843,6.18
Madagascar,6.523726424,4.44
United Kingdom,6.523807148,8.45
South Africa,6.524144531,7.02
Luxembourg,6.524478889,8.01
South Africa,6.524559096,6.82
Nigeria,6.525493512,5.89
Uruguay,6.526109865,7.1
Tajikistan,6.526173139,6.72
Panama,6.52867046,7.13
South Africa,6.530429602,6.98
Cameroon,6.535079537,5.65
Senegal,6.536207726,5.81
Pap. New Guinea,6.537349262,6.7
Qatar,6.537882662,7.43
Qatar,6.537882662,7.49
Qatar,6.537882662,7.5
Qatar,6.537882662,7.54
Qatar,6.537882662,7.68
Timor-Leste,6.538103054,6.68
Malaysia,6.542045067,7.07
Albania,6.542083707,5.01
Iran,6.542120929,5.93
South Africa,6.544009711,6.98
Australia,6.544178144,7.98
Guinea,6.54621401,5.93
Russia,6.54683496,6.62
South Africa,6.552876405,7.12
Moldova,6.555088957,6.58
Romania,6.555956483,6.49
Ukraine,6.55613079,5.95
Ghana,6.556459368,6.44
Colombia,6.556486988,6.72
"Korea, South",6.556841641,7.45
Fiji,6.557100497,6.65
Thailand,6.558492649,6.67
Bolivia,6.559048618,6.84
Spain,6.560424347,7.57
Morocco,6.561448149,6.47
Central Afr. Rep.,6.564141607,4.63
Bahrain,6.565432714,7.29
Bosnia and Herzegovina,6.565509318,6.61
Rwanda,6.56585099,6.75
Australia,6.566094609,8.02
"Korea, South",6.566706967,7.36
Vietnam,6.567306392,6.05
Slovak Rep,6.570167495,7.6
Turkey,6.570337795,6.83
Benin,6.570902447,5.57
Ethiopia,6.57126919,5.73
Spain,6.571592174,7.62
"Korea, South",6.572400084,7.35
Mozambique,6.575401881,5.93
United States,6.575949671,7.76
Zimbabwe,6.576354384,3.87
Turkey,6.576429967,6.84
Slovak Rep,6.577350183,7.6
Cameroon,6.57763037,5.33
Egypt,6.578958968,6.35
Turkey,6.583131785,6.86
Vietnam,6.583451902,6.19
Bahrain,6.583811188,7.42
Lithuania,6.584342117,7.41
Singapore,6.586589386,7.65
Estonia,6.588305621,7.85
Rwanda,6.589217618,4.89
Georgia,6.589939321,7.5
Bahrain,6.591904978,7.33
El Salvador,6.59270538,4.12
Turkey,6.593040745,6.87
Australia,6.59344285,8
"Korea, South",6.595614281,5.18
Suriname,6.599217289,6.64
Kuwait,6.602188156,7.48
"Yemen, Rep.",6.603117487,6.12
Togo,6.603727349,6.25
Sierra Leone,6.610784314,5.57
Mauritania,6.611764706,5.98
Benin,6.612101246,6.1
Ukraine,6.612835464,5.91
Ukraine,6.615098573,5.9
Sierra Leone,6.616666667,5.3
Zambia,6.616911765,6.79
Guinea-Bissau,6.618627451,5.62
Kyrgyz Republic,6.620115421,6.54
Sierra Leone,6.621568627,5.63
United Kingdom,6.621754288,8.47
Ethiopia,6.622004484,5.55
Zimbabwe,6.622058824,5.3
"Korea, South",6.623679676,7.67
Benin,6.623973118,5.99
Russia,6.624407086,6.65
Sri Lanka,6.626552979,6.35
Malaysia,6.626732383,7.1
Mali,6.626866211,5.5
Uruguay,6.631912165,7.04
Nicaragua,6.632019473,6.02
Zambia,6.632352941,6.72
Tajikistan,6.633518993,6.55
Ireland,6.640552896,8.22
Thailand,6.642645685,6.85
India,6.64419933,6.27
Latvia,6.644941918,7.81
Greece,6.646075092,7.34
Sierra Leone,6.647058824,4.79
Fiji,6.649082408,6.84
Ukraine,6.649825151,5.4
Latvia,6.653293105,7.64
Thailand,6.654410391,6.8
Russia,6.655079629,6.45
Costa Rica,6.656974275,6.7
Seychelles,6.659706066,7.24
Russia,6.662517076,6.43
Turkey,6.663194673,6.84
"Korea, South",6.663270211,7.46
Ukraine,6.664177766,6.24
Australia,6.665659561,8.02
Namibia,6.666214538,6.63
Mexico,6.666733451,6.68
Moldova,6.666878204,6.66
Belize,6.666962449,6.28
Sierra Leone,6.667092796,3.81
Lithuania,6.667725196,7.46
Rwanda,6.668146363,6.46
Fiji,6.668440455,6.73
Australia,6.674363182,7.96
Iran,6.675216381,5.91
Bolivia,6.676723816,6.47
Ghana,6.678511019,6.92
Belize,6.679008911,6.39
Latvia,6.679061548,7.68
Dominican Rep.,6.681762095,4.42
Morocco,6.684458647,6.14
New Zealand,6.684653708,8.58
Mauritius,6.689928274,7.37
Estonia,6.691243735,7.98
Ghana,6.692136409,6.88
Switzerland,6.692551365,8.15
